Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
scm20d,8966,61,Localized CQR,RELU,Bin 3,4,3,90%,0.9,0.013779742002119436,1.0759268960885258,,,,,,,,,538.0
scm20d,8966,61,Localized CQR,RELU,Bin 4,2,4,90%,0.9079925650557621,0.018684689416918556,0.8260642008355656,,,,,,,,,538.0
scm20d,8966,61,Localized CQR,RELU,Bin 5,0,5,90%,0.9111524163568772,0.01723319997992456,0.7485715254118188,,,,,,,,,538.0
scm1d,9803,280,Global CQR,RELU,Overall,,,90%,0.8958517511050662,0.007466603365600564,0.6772860407829284,0.020345519077063612,156.10322118318936,0.6230066657066345,0.23129529058933257,0.8093378607809848,0.02311805444326287,0.9746598639455784,0.1653220031645935,
scm1d,9803,280,Global CQR,RELU,Bin 1,4,1,90%,0.8093378607809848,0.02311805444326287,0.7602045655250549,,,,,,,,,589.0
scm1d,9803,280,Global CQR,RELU,Bin 2,3,2,90%,0.8753401360544218,0.013880093471252186,0.6852891027927399,,,,,,,,,588.0
scm1d,9803,280,Global CQR,RELU,Bin 3,2,3,90%,0.889625850340136,0.01716676472423469,0.6578161060810089,,,,,,,,,588.0
scm1d,9803,280,Global CQR,RELU,Bin 4,1,4,90%,0.9304421768707481,0.006864093901568223,0.6341791212558746,,,,,,,,,588.0
scm1d,9803,280,Global CQR,RELU,Bin 5,0,5,90%,0.9746598639455784,0.008065241973727481,0.6488004148006439,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,RELU,Overall,,,90%,0.8841550493029582,0.010400456526042675,0.6335490611533621,0.01052610507489782,146.02523703466326,0.539363032579422,0.3736208807915754,0.8420807202337641,0.01765791007824996,0.9357142857142856,0.09363356548052157,
scm1d,9803,280,Localized CQR,RELU,Bin 1,4,1,90%,0.8421052631578947,0.017676624902981823,0.8665523028524843,,,,,,,,,589.0
scm1d,9803,280,Localized CQR,RELU,Bin 2,2,2,90%,0.8710884353741497,0.02010546490630158,0.6000698879456186,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,RELU,Bin 3,3,3,90%,0.8761904761904763,0.011042641551529207,0.700406299957866,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,RELU,Bin 4,1,4,90%,0.895748299319728,0.015078619148515562,0.5229020414937313,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,RELU,Bin 5,0,5,90%,0.9357142857142856,0.017670714568517765,0.47741850950061443,,,,,,,,,588.0
bio,45730,9,Global CQR,RELU,Overall,,,90%,0.8994533129236826,0.0033842751168968784,1.778923797607422,0.023947044054644963,10.882718529110269,1.908668541908264,0.7568779468536377,0.8795871335357747,0.00991528699846542,0.921571261700868,0.04198412816509343,
bio,45730,9,Global CQR,RELU,Bin 1,3,1,90%,0.8895043731778426,0.011599917770892913,1.6173824787139892,,,,,,,,,2744.0
bio,45730,9,Global CQR,RELU,Bin 2,2,2,90%,0.8903071188894286,0.009785648194091463,1.7531669735908508,,,,,,,,,2743.1
bio,45730,9,Global CQR,RELU,Bin 3,4,3,90%,0.893768221574344,0.013574522559138692,1.6075617671012878,,,,,,,,,2744.0
bio,45730,9,Global CQR,RELU,Bin 4,1,4,90%,0.902769676812518,0.00690846782880311,2.017115592956543,,,,,,,,,2744.0
bio,45730,9,Global CQR,RELU,Bin 5,0,5,90%,0.9209152850244833,0.009819750830375399,1.8993871569633485,,,,,,,,,2743.9
bio,45730,9,Localized CQR,RELU,Overall,,,90%,0.8924848749908885,0.003633337860392365,1.762211673128487,0.027838140520827975,10.780462268342966,1.8847901061177255,0.7874940371936944,0.8788544973741802,0.007021627640069716,0.9021792285478328,0.023324731173652736,
bio,45730,9,Localized CQR,RELU,Bin 1,4,1,90%,0.8807580174927114,0.009056397418261062,1.602972696333478,,,,,,,,,2744.0
bio,45730,9,Localized CQR,RELU,Bin 2,3,2,90%,0.8913265306122449,0.007238897386551099,1.6357728040380177,,,,,,,,,2744.0
bio,45730,9,Localized CQR,RELU,Bin 3,2,3,90%,0.893186566069582,0.0070987899475024995,1.7699317177632863,,,,,,,,,2743.1
bio,45730,9,Localized CQR,RELU,Bin 4,1,4,90%,0.8970481819417293,0.006912022586000354,1.9888019463971347,,,,,,,,,2744.0
