regime,method,seed,coverage,avg_width,median_width,width_std,width_ratio_to_oracle,width_ratio_marginal,worst_bin_cov,best_bin_cov,coverage_gap_mean,coverage_gap_max,coverage_range,oracle_width,bandwidth_h,Q_global,Q_local_mean,Q_local_std
D3,Global,9,0.9002,6.528191566467285,2.9068169593811035,5.943528652191162,1.0502771643546005,1.036006667553115,0.883,0.934,0.015400000000000014,0.03400000000000003,0.051000000000000045,6.301302656560935,0.07368062997280775,-0.0002393925743375512,,
D3,Local,9,0.9034,6.597146609069382,2.8594280428965746,6.072310668508688,1.055220256705192,1.0469496497205086,0.881,0.922,0.013000000000000012,0.02200000000000002,0.041000000000000036,6.301302656560935,0.07368062997280775,,0.03423815462792943,0.21823533879823923
D4,Global,0,0.892,3.2991867065429688,3.3599674701690674,1.0829030275344849,1.009578875585601,1.0026540340453802,0.867,0.91,0.013200000000000012,0.03300000000000003,0.04300000000000004,3.290453730317956,0.07368062997280775,-0.0027315891247474402,,
D4,Local,0,0.8956,3.3318327025841996,3.326386782117165,1.1369590439067045,1.0160599413586358,1.0125754609113573,0.861,0.917,0.02200000000000002,0.039000000000000035,0.05600000000000005,3.290453730317956,0.07368062997280775,,0.013591527954306624,0.15386326315737558
D4,Global,1,0.9086,3.4022738933563232,3.342521905899048,1.136429786682129,1.0395630322469063,1.0322416798696563,0.902,0.917,0.008600000000000007,0.017000000000000015,0.015000000000000013,3.2960051504468764,0.07368062997280775,0.055792473329804165,,
D4,Local,1,0.9054,3.3924330837434127,3.359491601894297,1.2089412512837807,1.0275698202244707,1.029256002006994,0.893,0.917,0.009400000000000009,0.017000000000000015,0.02400000000000002,3.2960051504468764,0.07368062997280775,,0.05087208460783453,0.18251068488134284
D4,Global,2,0.9098,3.4041342735290527,3.3467936515808105,1.0151273012161255,1.0556761209873873,1.0338248413995894,0.889,0.936,0.017000000000000015,0.03600000000000003,0.04700000000000004,3.292757280740657,0.07368062997280775,0.0284066272371165,,
D4,Local,2,0.9092,3.4529551091583524,3.2602752416947647,1.211573730213965,1.0510118157003001,1.0486515751873644,0.889,0.931,0.014800000000000013,0.031000000000000028,0.04200000000000004,3.292757280740657,0.07368062997280775,,0.05281687292168324,0.17143587538173014
D4,Global,3,0.9036,3.3656749725341797,3.3428239822387695,1.0711616277694702,1.028563130311477,1.0182759080399386,0.867,0.927,0.020000000000000018,0.03300000000000003,0.06000000000000005,3.305268194955833,0.07368062997280775,0.06593949208026198,,
D4,Local,3,0.9054,3.3705288280837413,3.477188693992867,1.0472832377288919,1.0331415081118915,1.0197444289778066,0.893,0.926,0.009400000000000009,0.026000000000000023,0.03300000000000003,3.305268194955833,0.07368062997280775,,0.06836638878361262,0.14966600736828695
